time,R,H,I,E,S
7.890709,156,0,99,220,9525
7.910553,156,0,99,221,9524
7.911894,156,0,99,222,9523
7.919715,157,0,98,222,9523
7.936535,157,0,99,221,9523
7.962107,157,0,99,222,9522
7.986777,157,0,100,221,9522
7.999589,157,0,100,222,9521
8.000069,157,0,100,223,9520
8.017340,158,0,99,223,9520
8.026163,158,0,99,224,9519
8.031093,159,0,98,224,9519
8.039318,159,0,98,225,9518
8.046700,159,0,99,224,9518
8.049101,159,0,100,223,9518
8.069285,159,0,100,224,9517
8.074257,159,0,101,223,9517
8.077567,159,0,101,224,9516
8.080409,159,0,102,223,9516
8.085891,159,0,102,224,9515
8.098642,160,0,101,224,9515
8.109534,160,0,101,225,9514
8.122021,160,0,101,226,9513
8.122672,160,0,102,225,9513
8.128140,160,0,102,226,9512
8.128877,160,0,103,225,9512
8.136022,160,0,103,226,9511
8.136932,160,0,104,225,9511
8.140528,160,0,104,226,9510
8.144343,160,0,104,227,9509
8.158905,160,0,104,228,9508
8.159310,160,0,104,229,9507
8.162000,160,0,105,228,9507
8.162693,160,0,106,227,9507
8.167693,160,0,106,228,9506
8.185585,160,0,106,229,9505
8.195320,161,0,105,229,9505
8.204701,161,0,105,230,9504
8.210265,161,0,105,231,9503
8.216213,162,0,104,231,9503
8.218177,162,0,105,230,9503
8.225057,162,0,105,231,9502
8.245451,163,0,104,231,9502
8.247014,163,0,104,232,9501
8.255078,163,0,104,233,9500
8.256025,163,0,104,234,9499
8.265311,163,0,104,235,9498
8.296782,163,0,105,234,9498
8.297762,163,0,105,235,9497
8.298087,163,0,106,234,9497
8.307893,163,0,107,233,9497
8.326092,163,0,107,234,9496
8.327045,163,0,107,235,9495
8.336736,163,0,108,234,9495
8.340757,163,0,109,233,9495
8.345664,163,0,109,234,9494
8.347543,163,0,110,233,9494
8.359737,163,0,110,234,9493
8.362180,163,0,111,233,9493
8.370577,163,0,111,234,9492
8.375415,164,0,110,234,9492
8.387789,165,0,109,234,9492
8.398571,165,0,109,235,9491
8.406435,165,0,109,236,9490
8.407118,165,0,110,235,9490
8.420515,165,0,111,234,9490
8.421490,166,0,110,234,9490
8.425839,167,0,109,234,9490
8.441705,167,0,109,235,9489
8.452140,167,0,109,236,9488
8.452607,167,0,109,237,9487
8.453496,167,0,109,238,9486
8.457038,167,0,109,239,9485
8.458995,167,0,110,238,9485
8.459101,167,0,111,237,9485
8.491544,167,0,111,238,9484
8.492891,167,0,111,239,9483
8.493746,167,0,112,238,9483
8.495470,168,0,111,238,9483
8.497555,168,0,112,237,9483
8.504570,169,0,111,237,9483
8.508792,169,0,112,236,9483
8.511142,169,0,112,237,9482
8.517251,170,0,111,237,9482
8.534610,170,0,111,238,9481
8.536929,170,0,111,239,9480
8.555758,170,0,112,238,9480
8.558011,170,0,112,239,9479
8.561820,170,0,112,240,9478
8.570712,170,0,112,241,9477
8.573242,170,0,113,240,9477
8.573575,170,0,113,241,9476
8.576858,171,0,112,241,9476
8.585035,171,0,112,242,9475
8.590901,171,0,112,243,9474
8.594521,171,0,112,244,9473
8.598423,171,0,112,245,9472
8.601943,171,0,113,244,9472
8.603715,171,0,113,245,9471
8.609076,171,0,114,244,9471
8.611234,171,0,115,243,9471
8.621018,171,0,116,242,9471
8.621722,172,0,115,242,9471
8.628578,173,0,114,242,9471
8.643718,174,0,113,242,9471
8.652974,175,0,112,242,9471
8.654145,175,0,112,243,9470
8.658380,175,0,112,244,9469
8.659983,175,0,113,243,9469
8.663424,175,0,113,244,9468
8.671213,175,0,113,245,9467
8.671326,175,0,114,244,9467
8.696141,176,0,113,244,9467
8.700252,176,0,113,245,9466
8.701952,176,0,114,244,9466
8.710960,177,0,113,244,9466
8.711913,177,0,113,245,9465
8.712938,177,0,113,246,9464
8.721569,178,0,112,246,9464
8.726920,178,0,112,247,9463
8.732272,178,0,112,248,9462
8.734080,178,0,112,249,9461
8.738741,178,0,112,250,9460
8.747327,178,0,112,251,9459
8.748195,178,0,112,252,9458
8.757638,179,0,111,252,9458
8.766496,179,0,111,253,9457
8.770289,179,0,111,254,9456
8.771410,179,0,111,255,9455
8.773526,179,0,111,256,9454
8.773874,179,0,111,257,9453
8.781510,179,0,111,258,9452
8.787966,179,0,111,259,9451
8.798767,179,0,112,258,9451
8.802241,179,0,112,259,9450
8.814809,180,0,111,259,9450
8.817689,181,0,110,259,9450
8.822679,181,0,110,260,9449
8.827341,181,0,111,259,9449
